Key,English,Russian,German,French,Brazil,ChineseMainland,ChineseHongKong,ChineseTaiwan,SouthKorea,Japan,Malaysia,Indonesia,Turkey,Philippines,Vietnam
tagline_lv12,Can you reach the key?,Сможешь ли ты добраться до ключа?,Kannst du den Schlüssel erreichen?,Pouvez-vous atteindre la clé ?,Você consegue alcançar a chave?,你能拿到钥匙吗？,你能拿到鑰匙嗎？,你能拿到鑰匙嗎？,열쇠에 닿을 수 있나요?,鍵に辿り着くことができるでしょうか？,Bolehkah anda mencapai kunci?,Bisakah kamu mencapai kuncinya?,Anahtara ulaşabilir misin?,Maaari mong abutin ang susi?,Thế nào để với lên chìa khóa.
tagline_lv13,This place opens at 9 o'clock.,Это место открывается в 9 часов.,Dieser Ort öffnet um 9 Uhr.,Cet endroit ouvre à 9 heures.,Este local abre às 9 horas.,这个地方九点开门。,這個地方九點開門。,這個地方九點開門。,이곳은 9시에 문을 엽니다.,この場所は9時に開きます。,Tempat ini dibuka pada pukul 9.,Tempat ini buka pada jam 9.,Burası saat 9'da açılıyor.,Ang lugar na ito ay bubukas sa alas-9.,9h mở cửa.
tagline_lv14,Pull it up!,Поднимите его!,Hochziehen!,Tirez-le!,Puxe para cima!,拉起来！,拉起來！,拉起來！,끌어 올려!,引き上げてください！,Tarik ia ke atas!,Tarik ke atas!,Yukarı çek!,Hilahin ito!,Kéo nó lên!
tagline_lv15,Handle with care.,Обращайтесь с осторожностью.,Vorsichtig behandeln.,Manipuler avec précaution.,Manuseie com cuidado.,小心处理。,小心處理。,小心處理。,조심해서 다루십시오.,取り扱いには注意してください。,Kendalikan dengan berhati-hati.,Tangani dengan hati-hati.,Dikkatli kullanın.,Pangasiwaan nang may pag-iingat.,Xử lý cẩn thận.
tagline_lv16,Follow the rules.,Следуйте правилам.,Befolgen Sie die Regeln.,Suivez les règles.,Siga as regras.,遵守规则。,遵守規則。,遵守規則。,규칙을 따르십시오.,ルールに従ってください。,Ikut peraturan.,Ikuti aturannya.,Kurallara uyun.,Sundin ang mga patakaran.,Tuân thủ luật lệ.
tagline_lv17,The key is inside the box.,Ключ находится внутри коробки.,Der Schlüssel befindet sich in der Box.,La clé est à l'intérieur de la boîte.,A chave está dentro da caixa.,钥匙在盒子里面。,鑰匙在盒子裡面。,鑰匙在盒子裡面。,열쇠는 상자 안에 있어요.,鍵は箱の中にあります。,Kuncinya ada di dalam kotak.,Kuncinya ada di dalam kotak.,Anahtar kutunun içinde.,Nasa loob ng kahon ang susi.,Chìa khóa ở bên trong hộp.
tagline_lv18,Reach the ceiling.,Доберитесь до потолка.,Erreiche die Decke.,Atteignez le plafond.,Alcance o teto.,到达天花板。,到達天花板。,到達天花板。,천장에 도달하세요.,天井に到達します。,Capai siling.,Mencapai langit-langit.,Tavana ulaşın.,Umabot sa kisame.,Chạm tới nóc trần!
tagline_lv19,The faucet is misplaced!,Кран стоит не на своем месте!,Der Wasserhahn ist verlegt!,Le robinet est mal placé !,A torneira está perdida!,水龙头放错地方了！,水龍頭放錯地方了！,水龍頭放錯地方了！,수도꼭지 위치가 잘못됐어요!,蛇口の位置が間違っている！,Faucet salah letak!,Faucetnya salah tempat!,Musluk yanlış yerleştirilmiş!,Nawala ang gripo!,Vòi bị đặt sai vị trí!
tagline_lv20,Go to door.,Идите к двери.,Geh zur Tür.,Allez à la porte.,Vá para a porta.,走到门口。,走到門口。,走到門口。,문으로 가세요.,ドアに行きます。,Pergi ke pintu.,Pergi ke pintu.,Kapıya git.,Pumunta sa pinto.,Đi tới cửa.
tagline_lv21,All moves are blocked!,Все ходы заблокированы!,Alle Bewegungen sind blockiert!,Tous les mouvements sont bloqués !,Todos os movimentos estão bloqueados!,所有动作都被封锁！,所有動作都被封鎖！,所有動作都被封鎖！,모든 움직임이 차단되었습니다!,あらゆる動きを封じられる！,Semua pergerakan disekat!,Semua gerakan diblokir!,Tüm hareketler engellendi!,Lahat ng galaw ay nakaharang!,Các điều khiển đang bị khóa.
tagline_lv22,Guess the password.,Угадайте пароль.,Erraten Sie das Passwort.,Devinez le mot de passe.,Adivinhe a senha.,猜猜密码。,猜猜密碼。,猜猜密碼。,비밀번호를 추측해보세요.,パスワードを推測してください。,Teka kata laluan.,Tebak kata sandinya.,Şifreyi tahmin et.,Hulaan ang password.,Mật khẩu là gì?
tagline_lv23,Adjustable Platform,Регулируемая платформа,Verstellbare Plattform,Plateforme réglable,Plataforma ajustável,可调平台,可調平台,可調平台,조정 가능한 플랫폼,調節可能なプラットフォーム,Platform boleh laras,Platform yang Dapat Disesuaikan,Ayarlanabilir Platform,Naaayos na Platform,Chỉnh giàn giáo.
tagline_lv24,An Unconventional Way Out.,Нестандартный выход.,Ein unkonventioneller Ausweg.,Une sortie non conventionnelle.,Uma saída não convencional.,非常规的出路。,非常規的出路。,非常規的出路。,색다른 탈출구.,型破りな方法。,Jalan Keluar yang Tidak Lazim.,Jalan Keluar yang Tidak Biasa.,Alışılmadık Bir Çıkış Yolu.,Isang Unconventional Way Out.,Một lối thoát độc đáo.
tagline_lv25,This door again?,Опять эта дверь?,Schon wieder diese Tür?,Encore cette porte ?,Esta porta de novo?,又是这个门？,又是這個門？,又是這個門？,또 이 문이요?,またこのドア？,Pintu ini lagi?,Pintu ini lagi?,Yine mi bu kapı?,Itong pinto na naman?,Lại là cánh cửa này?
tagline_lv26,Think outside of the box.,Думайте нестандартно.,Denken Sie über den Tellerrand hinaus.,Sortez des sentiers battus.,Pense fora da caixa.,跳出框框思考。,跳出框框思考。,跳出框框思考。,고정관념에서 벗어나 생각해보세요.,枠にとらわれずに考えてみましょう。,Fikir di luar kotak.,Berpikirlah di luar kotak.,Kutunun dışında düşünün.,Mag-isip sa labas ng kahon.,Suy nghĩ ngoài hộp.
tagline_lv27a,No door to,Нет двери в,Keine Tür zu,Pas de porte pour,Nenhuma porta para,无门可至,無門可至,無門可至,문이 없음,への扉はありません,Tiada pintu ke,Tidak ada pintu ke,Kapı yok,Walang pinto sa,Không có cửa vào
tagline_lv27b,next level?,следующий уровень?,nächstes Level?,prochain niveau ?,próximo nível?,下一个级别？,下一個級別？,下一個級別？,다음 레벨?,次のレベル？,peringkat seterusnya?,tingkat selanjutnya?,sonraki seviye?,susunod na antas?,vàn tiếp theo?
tagline_lv28,is power,это сила,ist Macht,c'est le pouvoir,é poder,就是力量,就是力量,就是力量,힘이다,力です,adalah kuasa,adalah kekuatan,güçtür,ay kapangyarihan,là sức mạnh
tagline_lv29,Endless Resets.,Бесконечные перезагрузки.,Endlose Resets.,Réinitialisations sans fin.,Reinicializações infinitas.,无尽的重置。,無盡的重置。,無盡的重置。,끝없는 재설정.,終わりのないリセット。,Tetapan Semula Tanpa Kesudahan.,Penyetelan Ulang Tanpa Akhir.,Sonsuz Sıfırlamalar.,Walang katapusang Pag-reset.,Reset vô tận.
tagline_lv30,"All you need is ""luck"".","Все, что вам нужно, это «удача».","Alles, was Sie brauchen, ist „Glück“.","Tout ce dont vous avez besoin, c'est de « chance ».",Tudo que você precisa é de “sorte”.,你所需要的只是“运气”。,你所需要的只是「運氣」。,你所需要的只是「運氣」。,"필요한 것은 ""행운"" 뿐입니다.",必要なのは「運」だけ。,"Apa yang anda perlukan hanyalah ""nasib"".",Yang Anda perlukan hanyalah “keberuntungan”.,"İhtiyacınız olan tek şey ""şans"".","Ang kailangan mo lang ay ""swerte"".","Tất cả những gì bạn cần là ""sự may mắn""."
