Key,English,Russian,German,French,Brazil
hint_lv11,Hit the lucky block to spawn an invisible platform to walk to the door.,"Нажмите на счастливый блок, чтобы создать невидимую платформу, по которой можно пройти к двери.","Triff den Glücksblock, um eine unsichtbare Plattform zu erzeugen, über die du zur Tür gehen kannst.",Frappez le bloc porte-bonheur pour faire apparaître une plate-forme invisible permettant de marcher jusqu'à la porte.,Acerte o bloco da sorte para gerar uma plataforma invisível e caminhar até a porta.
hint_lv12,Drag the lock from the door with your finger.,Перетащите замок от двери пальцем.,Ziehen Sie das Schloss mit Ihrem Finger von der Tür.,Faites glisser la serrure de la porte avec votre doigt.,Arraste a fechadura da porta com o dedo.
hint_lv13,"Move the lucky block to the left, below the hour digit, and hit it to add 1 hour until it is 9.","Переместите счастливый блок влево, под цифру часов, и нажмите на него, чтобы добавить 1 час, пока он не станет 9.","Bewegen Sie den Glücksblock nach links, unter die Stundenziffer, und drücken Sie darauf, um 1 Stunde hinzuzufügen, bis er 9 ist.","Déplacez le bloc porte-bonheur vers la gauche, sous le chiffre des heures, et appuyez dessus pour ajouter 1 heure jusqu'à ce qu'il soit 9.","Mova o bloco da sorte para a esquerda, abaixo do dígito da hora, e clique nele para adicionar 1 hora até que seja 9."
hint_lv14,Hit the lucky block twice to grow a tree on the platform. You can pull the tree up to move the platform vertically.,"Дважды ударьте по счастливому блоку, и на платформе вырастет дерево. Вы можете потянуть дерево вверх, чтобы переместить платформу вертикально.","Triff den Glücksblock zweimal, um einen Baum auf der Plattform wachsen zu lassen. Sie können den Baum nach oben ziehen, um die Plattform vertikal zu bewegen.",Frappez deux fois le bloc porte-bonheur pour faire pousser un arbre sur la plate-forme. Vous pouvez tirer l'arbre vers le haut pour déplacer la plate-forme verticalement.,Acerte o bloco da sorte duas vezes para fazer crescer uma árvore na plataforma. Você pode puxar a árvore para mover a plataforma verticalmente.
hint_lv15,Drag Potato accross the the screen and bypass all the traps.,Перетащите Картошку по экрану и обойдите все ловушки.,Ziehen Sie Potato über den Bildschirm und umgehen Sie alle Fallen.,Faites glisser Potato sur l'écran et contournez tous les pièges.,Arraste Batata pela tela e ignore todas as armadilhas.
hint_lv16,Stop at redlight and wait for greenlight to go.,"Остановитесь на красный свет и подождите, пока погаснет зеленый свет.","Halten Sie an der roten Ampel an und warten Sie, bis es grünes Licht gibt.",Arrêtez-vous au feu rouge et attendez le feu vert.,Pare no sinal vermelho e espere o sinal verde passar.
hint_lv17,Drag the box up and drops it to break it open.,"Перетащите коробку вверх и бросьте ее, чтобы взломать.","Ziehen Sie das Kästchen nach oben und lassen Sie es los, um es aufzubrechen.",Faites glisser la boîte vers le haut et déposez-la pour l'ouvrir.,Arraste a caixa para cima e solte-a para abri-la.
hint_lv18,Go to the top right of the map.,Перейдите в правый верхний угол карты.,Gehen Sie in die obere rechte Ecke der Karte.,Allez en haut à droite de la carte.,Vá para o canto superior direito do mapa.
hint_lv19,Drag the faucet over the hole and fill the hole up.,Перетащите кран на отверстие и заполните отверстие.,Ziehen Sie den Wasserhahn über das Loch und füllen Sie das Loch auf.,Faites glisser le robinet sur le trou et remplissez le trou.,Arraste a torneira sobre o buraco e preencha-o.
hint_lv20,"Go to the word ""door"" on the tagline.",Перейдите к слову «дверь» в слогане.,Gehen Sie zum Wort „Tür“ im Slogan.,Accédez au mot « porte » sur le slogan.,Vá para a palavra “porta” no slogan.
hint_lv21,Drag the jump button to push Potato to the door.,"Перетащите кнопку прыжка, чтобы подтолкнуть Картошку к двери.","Ziehen Sie die Sprungtaste, um Potato zur Tür zu schieben.",Faites glisser le bouton de saut pour pousser Potato vers la porte.,Arraste o botão de salto para empurrar Batata até a porta.
hint_lv22,"Hit the lucky blocks from order left to right, watch carefully how many time you can hit the blocks.","Ударяйте по счастливым блокам в порядке слева направо, внимательно следите за тем, сколько раз вы сможете ударить по блокам.","Treffen Sie die Glücksblöcke in der Reihenfolge von links nach rechts und achten Sie genau darauf, wie oft Sie die Blöcke treffen können.","Frappez les blocs chanceux de gauche à droite, surveillez attentivement combien de fois vous pouvez frapper les blocs.","Acerte os blocos da sorte da esquerda para a direita, observe atentamente quantas vezes você consegue acertar os blocos."
hint_lv23,The middle platform can be dragged down for an easier jump.,Среднюю платформу можно опустить вниз для облегчения прыжка.,Für einen einfacheren Sprung kann die mittlere Plattform nach unten gezogen werden.,La plate-forme centrale peut être abaissée pour un saut plus facile.,A plataforma intermediária pode ser arrastada para baixo para um salto mais fácil.
hint_lv24,Jump into the first gap.,Прыгайте в первый провал.,Springe in die erste Lücke.,Sautez dans la première brèche.,Salte para a primeira lacuna.
hint_lv25,Pause the game when the door run away.,"Приостановите игру, когда дверь убежит.","Unterbrechen Sie das Spiel, wenn die Tür wegläuft.",Mettez le jeu en pause lorsque la porte s'enfuit.,Pause o jogo quando a porta fugir.
hint_lv26,Drag the buttons in the top left down to use as platform to jump over to the other side.,"Перетащите кнопки в левом верхнем углу вниз, чтобы использовать их в качестве платформы для прыжка на другую сторону.","Ziehen Sie die Schaltflächen oben links nach unten, um sie als Plattform zum Springen auf die andere Seite zu verwenden.",Faites glisser les boutons en haut à gauche vers le bas pour les utiliser comme plate-forme pour passer de l'autre côté.,Arraste os botões no canto superior esquerdo para baixo para usar como plataforma para pular para o outro lado.
hint_lv27,"Hit the lucky block to show text, then click on ""next level"".","Нажмите счастливый блок, чтобы отобразить текст, затем нажмите «Следующий уровень».","Klicken Sie auf den Glücksblock, um Text anzuzeigen, und klicken Sie dann auf „nächste Level“.","Appuyez sur le bloc porte-bonheur pour afficher le texte, puis cliquez sur ""niveau suivant"".","Acerte o bloco da sorte para mostrar o texto e clique em ""próximo nível""."
hint_lv28,"Drag ""Unity"" into the monster.",Перетащите «Единство» в монстра.,Ziehen Sie „Einheit“ in das Monster.,"Faites glisser ""l'unité"" dans le monstre.","Arraste ""Unidade"" para o monstro."
hint_lv29,"Everytime the level is reset, Potato left a previous version of himself in the scene, which can be used as platform to jump on.","Каждый раз, когда уровень сбрасывается, Картофель оставляет на сцене предыдущую версию себя, которую можно использовать как платформу для прыжков.","Jedes Mal, wenn das Level zurückgesetzt wird, hinterlässt Potato eine frühere Version seiner selbst in der Szene, die als Plattform zum Springen verwendet werden kann.","Chaque fois que le niveau est réinitialisé, Potato laisse une version précédente de lui-même dans la scène, qui peut être utilisée comme plate-forme sur laquelle sauter.","Cada vez que o nível é zerado, Potato deixa uma versão anterior de si mesmo na cena, que pode ser usada como plataforma para pular."
hint_lv30,Change the position of the wheel's arrow to rig the wheel to spin for the key.,"Измените положение стрелки колеса, чтобы колесо вращалось за ключом.","Ändern Sie die Position des Radpfeils, um das Rad so einzustellen, dass es sich für den Schlüssel dreht.",Changez la position de la flèche de la roue pour que la roue tourne pour la clé.,Mude a posição da seta da roda para prepará-la para girar em busca da chave.
